Store_Name,Address,Phone
ნიკორა - ვაკე,"თბილისი, ჭონქაძის ქ. 12",+995 577 111 223
ორი ნაბიჯი - საბურთალო,"თბილისი, ვაჟა-ფშაველას გამზირი 45",+995 577 222 334
სპარი - გლდანი,"თბილისი, გლდანის მასივი, III მიკრო, ბლოკი 5",+995 577 333 445
მაგნიტი - ისანი,"თბილისი, ისნის უბანი, ქეთევან დედოფლის ქ. 8",+995 577 444 556
აგრო ჰაბი - დიდუბე,"თბილისი, დიდუბე, აღმაშენებლის გამზირი 102",+995 577 555 667
ფუდმარტი - ვარკეთილი,"თბილისი, ვარკეთილი, ხინკლის ქ. 14",+995 577 666 778
სუპერფუდი - ნაძალადევი,"თბილისი, ნაძალადევი, ხეჩაშვილის ქ. 33",+995 577 777 889
გურმე სახლი - მარჯანიშვილი,"თბილისი, მარჯანიშვილის მოედანი, ბოკიას ქ. 2",+995 577 888 990
ევრო პროდუქტი - ჩუღურეთი,"თბილისი, ჩუღურეთი, პოლიტკოვსკაიას ქ. 19",+995 579 101 112
მარკეტი 24 - დიღომი,"თბილისი, დიღმის მასივი, მესხიშვილის ქ. 7",+995 579 202 223
Nikora - საბურთალო,"თბილისი, საბურთალო, ვაჟა-ფშაველას II მიკრო, კორპ. 4",+995 577 301 001
Nikora - ჩერხეიზარი,"თბილისი, ჩერხეიზარი, აღმაშენებლის გამზ. 215",+995 577 301 002
Spar - ვაკე,"თბილისი, ვაკე, ჭავჭავაძის გამზ. 72",+995 577 302 003
Spar - დიდუბე,"თბილისი, დიდუბე, ცენტრალი, მარშალ გელოვანის ქ. 15",+995 577 302 004
Ori Nabiji - გლდანი,"თბილისი, გლდანი, მე-3 მიკრო, ბლოკი 2",+995 577 303 005
Ori Nabiji - ვარკეთილი,"თბილისი, ვარკეთილი, მეტრო ვარკეთილი, სამგორის ქ. 9",+995 577 303 006
ნიკორა - ქუთაისი,"ქუთაისი, ჭავჭავაძის ქ. 18",+995 577 304 007
სპარი - ბათუმი,"ბათუმი, ბაგრატიონის ქ. 44",+995 577 305 008
ორი ნაბიჯი - რუსთავი,"რუსთავი, მესხიშვილის ქ. 7",+995 577 306 009
მაგნიტი - ზუგდიდი,"ზუგდიდი, თავისუფლების ქ. 25",+995 577 307 010
ნიკორა - ბათუმი,"ბათუმი, ბათუმის ცენტრი, ლუსიას ქ. 5",+995 577 401 011
სპარი - ქუთაისი,"ქუთაისი, ჭავჭავაძის გამზირი 55",+995 577 401 012
ორი ნაბიჯი - თელავი,"თელავი, ერეკლე II-ის ქ. 12",+995 577 401 013
Nikora - გორი,"გორი, სტალინის გამზირი 28",+995 577 401 014
Spar - მარნეული,"მარნეული, თავისუფლების ქ. 3",+995 577 401 015
Ori Nabiji - ბორჯომი,"ბორჯომი, ცენტრალური პარკის ქ. 7",+995 577 401 016
ფუდმარტი - ხაშური,"ხაშური, სტალინის ქ. 19",+995 577 401 017
სუპერფუდი - ზესტაფონი,"ზესტაფონი, რუსთაველის ქ. 41",+995 577 401 018
გურმე სახლი - სენაკი,"სენაკი, თავისუფლების ქ. 22",+995 577 401 019
ევრო პროდუქტი - ფოთი,"ფოთი, აღმაშენებლის ქ. 8",+995 577 401 020
ნიკორა - სამგორი,"თბილისი, სამგორი, ვაზისუბანი, ჭირქელის ქ. 11",+995 577 401 021
სპარი - ახალციხე,"ახალციხე, თამარ მეფის გამზირი 33",+995 577 401 022
ორი ნაბიჯი - მცხეთა,"მცხეთა, დიდგორის ქ. 5",+995 577 401 023
